,cat_periodo,area_carrera_generica,total_alumnos
380,2024,Derecho,58519
381,2024,Enseñanza Comercial y Administración,250743
382,2024,Formación de Personal Docente y Ciencias de la Educación,120302
383,2024,Humanidades,13379
384,2024,Industria y Producción,20766
385,2024,Informática,74564
386,2024,Ingeniería y Profesiones Afines,198247
387,2024,Matemáticas y Estadísticas,5643
388,2024,Medicina,265785
389,2024,Periodismo e Información,8865
390,2024,Protección del Medio Ambiente,7013
391,2024,Servicios de Seguridad,18474
392,2024,Servicios de Transporte,1933
393,2024,Servicios Personales,52908
394,2024,Servicios Sociales,45108
395,2024,Veterinaria,25311
