,cat_periodo,tipo_inst_1,tipo_inst_2,nivel_carrera_2,total_alumnos
256,2023,Universidades,Universidades (* Carrera en Convenio),Doctorado,73
257,2023,Universidades,Universidades (* Carrera en Convenio),Magister,72
258,2023,Universidades,Universidades CRUCH,Carreras Profesionales,369141
259,2023,Universidades,Universidades CRUCH,Carreras Técnicas,16082
260,2023,Universidades,Universidades CRUCH,Doctorado,6273
261,2023,Universidades,Universidades CRUCH,Magister,22081
262,2023,Universidades,Universidades CRUCH,Postítulo,24820
263,2023,Universidades,Universidades Privadas,Carreras Profesionales,303435
264,2023,Universidades,Universidades Privadas,Carreras Técnicas,4677
265,2023,Universidades,Universidades Privadas,Doctorado,756
266,2023,Universidades,Universidades Privadas,Magister,23048
267,2023,Universidades,Universidades Privadas,Postítulo,14479
268,2024,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,145299
269,2024,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,5
270,2024,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,269901
271,2024,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,156369
272,2024,Institutos Profesionales,Institutos Profesionales,Postítulo,261
273,2024,Universidades,Universidades (* Carrera en Convenio),Carreras Profesionales,59
274,2024,Universidades,Universidades (* Carrera en Convenio),Doctorado,29
275,2024,Universidades,Universidades (* Carrera en Convenio),Magister,27
276,2024,Universidades,Universidades CRUCH,Carreras Profesionales,373241
277,2024,Universidades,Universidades CRUCH,Carreras Técnicas,15953
278,2024,Universidades,Universidades CRUCH,Doctorado,6566
279,2024,Universidades,Universidades CRUCH,Magister,22501
280,2024,Universidades,Universidades CRUCH,Postítulo,39334
281,2024,Universidades,Universidades Privadas,Carreras Profesionales,312460
282,2024,Universidades,Universidades Privadas,Carreras Técnicas,4317
283,2024,Universidades,Universidades Privadas,Doctorado,877
284,2024,Universidades,Universidades Privadas,Magister,22059
285,2024,Universidades,Universidades Privadas,Postítulo,16827
